"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"AutomationExercise网站测试","产品功能","产品页面","0","0","1","0","0"
"AutomationExercise网站测试","产品功能","产品搜索","0","0","1","0","0"
"AutomationExercise网站测试","用户认证功能","用户登录","2","0","6","0","0"
"AutomationExercise网站测试","用户认证功能","完整流程","0","0","1","0","0"
"AutomationExercise网站测试","购物车功能","购物车页面","0","0","1","0","0"
"AutomationExercise网站测试","产品功能","添加到购物车","1","0","0","0","0"
"AutomationExercise网站测试","用户认证功能","用户注册","0","0","3","0","0"
"AutomationExercise网站测试","购物车功能","添加商品","0","1","0","0","0"
"AutomationExercise网站测试","联系我们功能","表单提交","0","0","1","0","0"
"AutomationExercise网站测试","首页功能","页面加载验证","0","0","1","0","0"
"AutomationExercise网站测试","联系我们功能","页面加载","0","0","1","0","0"
"AutomationExercise网站测试","首页功能","分类功能","0","1","0","0","0"
