"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 13 17:30:33 CST 2025","Sat Sep 13 17:30:38 CST 2025","4841","tests","test_products","TestProducts","","","验证产品页面加载","测试产品页面能够正确加载并显示产品列表"
"passed","Sat Sep 13 17:30:45 CST 2025","Sat Sep 13 17:30:56 CST 2025","11248","tests","test_products","TestProducts","","","搜索产品功能","测试产品搜索功能的基本操作"
"passed","Sat Sep 13 17:51:19 CST 2025","Sat Sep 13 17:51:31 CST 2025","12165","tests","test_user_authentication","TestUserAuthentication","","","参数化登录测试","使用不同的登录凭据进行参数化测试"
"passed","Sat Sep 13 17:51:39 CST 2025","Sat Sep 13 17:52:16 CST 2025","37014","tests","test_user_authentication","TestUserAuthentication","","","注册后立即登录","测试注册新用户后立即登录的完整流程"
"passed","Sat Sep 13 17:28:02 CST 2025","Sat Sep 13 17:28:27 CST 2025","24894","tests","test_cart","TestCart","","","验证购物车页面加载","测试购物车页面能够正确加载"
"passed","Sat Sep 13 17:47:10 CST 2025","Sat Sep 13 17:47:22 CST 2025","11471","tests","test_user_authentication","TestUserAuthentication","","","空凭据登录失败","测试空用户名密码登录应该失败"
"failed","Sat Sep 13 17:32:28 CST 2025","Sat Sep 13 17:33:02 CST 2025","33898","tests","test_products","TestProducts","","","添加产品到购物车","测试从产品页面添加产品到购物车"
"passed","Sat Sep 13 17:42:53 CST 2025","Sat Sep 13 17:43:17 CST 2025","24488","tests","test_user_authentication","TestUserAuthentication","","","新用户注册成功","测试新用户完整的注册流程"
"broken","Sat Sep 13 17:29:09 CST 2025","Sat Sep 13 17:29:14 CST 2025","5775","tests","test_cart","TestCart","","","从首页添加商品到购物车","测试从首页添加商品到购物车的功能"
"passed","Sat Sep 13 17:29:33 CST 2025","Sat Sep 13 17:29:43 CST 2025","9436","tests","test_contact_us","TestContactUs","","","成功提交联系表单","测试填写并成功提交联系表单"
"passed","Sat Sep 13 17:46:34 CST 2025","Sat Sep 13 17:46:47 CST 2025","12461","tests","test_user_authentication","TestUserAuthentication","","","无效用户登录失败","测试无效凭据登录应该失败"
"passed","Sat Sep 13 17:47:29 CST 2025","Sat Sep 13 17:47:35 CST 2025","5957","tests","test_user_authentication","TestUserAuthentication","","","登录表单验证","测试登录表单字段验证"
"failed","Sat Sep 13 17:45:27 CST 2025","Sat Sep 13 17:45:41 CST 2025","13774","tests","test_user_authentication","TestUserAuthentication","","","有效用户登录成功","测试有效用户能够成功登录"
"passed","Sat Sep 13 17:43:24 CST 2025","Sat Sep 13 17:43:38 CST 2025","13806","tests","test_user_authentication","TestUserAuthentication","","","已存在邮箱注册失败","测试使用已存在的邮箱注册应该失败"
"passed","Sat Sep 13 17:51:03 CST 2025","Sat Sep 13 17:51:12 CST 2025","9094","tests","test_user_authentication","TestUserAuthentication","","","参数化登录测试","使用不同的登录凭据进行参数化测试"
"passed","Sat Sep 13 17:43:45 CST 2025","Sat Sep 13 17:43:55 CST 2025","9412","tests","test_user_authentication","TestUserAuthentication","","","注册表单验证","测试注册表单的字段验证"
"passed","Sat Sep 13 17:29:51 CST 2025","Sat Sep 13 17:30:02 CST 2025","11247","tests","test_home_page","TestHomePage","","","验证首页加载成功","测试首页能够正确加载并显示所有关键元素"
"passed","Sat Sep 13 17:29:21 CST 2025","Sat Sep 13 17:29:27 CST 2025","5627","tests","test_contact_us","TestContactUs","","","验证联系我们页面加载","测试联系我们页面能够正确加载"
"broken","Sat Sep 13 15:38:05 CST 2025","Sat Sep 13 15:38:05 CST 2025","0","tests","test_home_page","TestHomePage","","","验证产品分类功能","测试首页产品分类侧边栏功能"
"passed","Sat Sep 13 17:49:01 CST 2025","Sat Sep 13 17:49:11 CST 2025","10431","tests","test_user_authentication","TestUserAuthentication","","","参数化登录测试","使用不同的登录凭据进行参数化测试"
"failed","Sat Sep 13 17:48:43 CST 2025","Sat Sep 13 17:48:54 CST 2025","10835","tests","test_user_authentication","TestUserAuthentication","","","参数化登录测试","使用不同的登录凭据进行参数化测试"
